test_name,model,request_index,enqueue_ts,ttft_ms,exec_ms,total_ms,completion_tokens,tok_per_s,status,error,streaming,concurrency,preceded_by,response_text
warmup,gemma3:1b,0,1776757833.4938035,0.0,40735.0,40735.0,3,0.07,ok,,False,1,none,"Hello
"
warmup,gemma3:4b,1,1776757874.2210815,0.0,27140.0,27140.0,2,0.07,ok,,False,1,gemma3:1b,Hello
warmup,gemma4:26b,2,1776757901.3627923,0.0,132110.0,132110.0,95,0.72,ok,,False,1,gemma3:4b,Hello
warmup,qwen2.5:32b,3,1776758033.4723623,0.0,7203.0,7203.0,2,0.28,ok,,False,1,gemma4:26b,Hello
switch_gauntlet,gemma3:1b,0,1776758040.6868362,0.0,7625.0,7625.0,2,0.26,ok,,False,1,none,ok
switch_gauntlet,gemma3:4b,1,1776758048.2974486,0.0,27156.0,27156.0,3,0.11,ok,,False,1,gemma3:1b,"ok
"
switch_gauntlet,gemma4:26b,2,1776758075.4598076,0.0,132453.0,132453.0,132,1.0,ok,,False,1,gemma3:4b,ok
switch_gauntlet,qwen2.5:32b,3,1776758207.9132326,0.0,7266.0,7266.0,3,0.41,ok,,False,1,gemma4:26b,Ok.
switch_gauntlet,gemma3:1b,4,1776758215.1749427,0.0,7578.0,7578.0,3,0.4,ok,,False,1,qwen2.5:32b,"ok
"
switch_gauntlet,gemma3:4b,5,1776758222.7623017,0.0,27188.0,27188.0,3,0.11,ok,,False,1,gemma3:1b,"ok
"
switch_gauntlet,gemma4:26b,6,1776758249.93869,0.0,131734.0,131734.0,65,0.49,ok,,False,1,gemma3:4b,ok
switch_gauntlet,qwen2.5:32b,7,1776758381.6799395,0.0,7266.0,7266.0,3,0.41,ok,,False,1,gemma4:26b,Ok.
